defense_label,runs,task_success_rate,raw_leakage_mean,external_leakage_mean,cascade_size_mean,cascade_depth_mean,privilege_reach_mean,safe_view_mean,quarantine_mean,block_mean,allow_mean,propagation_right_downgrade_mean,acl_block_mean,runtime_content_block_mean,final_content_block_mean,oracle_annotation_use_count,provider_call_count,clean_task_success_rate,clean_block_rate
ACL_CONTENT_RUNTIME,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0
FLOWFENCE_NONORACLE,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333,0.666667,0.0,0.0,0.0,0,0,1.0,0.0
PROMPT_FILTER,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0
STATIC_ACL,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0
